id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
25862835,Premium 3 Bedroom beachfront villa with unrestrict,44930752,Key Caribe,Stann Creek,Stann Creek Mainland,16.85346,-88.28139,Entire home/apt,3206,3,0,,,6,365,0,
25862928,Comfortable 2 Bedroom beach front unit,44930752,Key Caribe,Stann Creek,Stann Creek Mainland,16.85346,-88.28139,Entire home/apt,2062,3,0,,,6,360,0,
25862969,1 Bedroom beachfront deluxe apartment,44930752,Key Caribe,Stann Creek,Stann Creek Mainland,16.85346,-88.28139,Entire home/apt,1146,3,0,,,6,365,0,
25871729,Conerstone Estate Vacation Wooden TiPi,160969355,Julie,Belize,Belize Mainland,17.57538,-88.37838,Entire home/apt,81,2,2,2024-08-09,0.03,4,179,1,
25891085,KhalKob's Estate: 3 (GOLD STANDARD CERTIFIED),93564386,Rodney,Stann Creek,Stann Creek Mainland,16.52497,-88.37018,Hotel room,192,1,22,2024-11-29,0.28,8,280,2,
25954400,"Feel at home, away from home",115825277,Stephen,Cayo,Cayo,17.1614,-89.07534,Entire home/apt,,4,2,2019-12-30,0.03,6,3,0,
25962574,Cozy corner,195147064,Glenford,Belize,Belize Mainland,17.49885,-88.22284,Private room,,1,0,,,1,0,0,
25983074,Casa Palma 1BR Beach Suites - North,193784526,Perfecto,Stann Creek,Stann Creek Mainland,16.522095,-88.368759,Private room,,999,2,2022-04-16,0.03,6,304,0,
25984514,Casa Palma 1BR Deluxe Suite #1,193784526,Perfecto,Stann Creek,Stann Creek Mainland,16.52044,-88.36886,Private room,,999,1,2024-07-06,0.17,6,365,1,
25996935,FREE SHUTTLE!!!/ Caye Caulker Guest House 3,46973413,Adrienne,Belize,Belize Islands,17.7404,-88.02695,Entire home/apt,175,2,67,2024-12-05,0.86,9,321,18,
26030894,family suite 1 at paradise plantation,195634670,Jerry,Stann Creek,Stann Creek Mainland,16.63353,-88.33893,Private room,280,1,3,2023-10-01,0.04,4,171,0,
26034383,Placencia Villas: Seahorse Studio,58097670,Lacey,Stann Creek,Stann Creek Mainland,16.51337,-88.36769,Hotel room,270,1,4,2021-04-10,0.05,11,307,0,
26082129,BEACHFRONT PRIVATE PARADISE house w/ pool & cook!,52524083,Julie,Belize,Belize Islands,17.97415,-87.92644,Entire home/apt,2219,3,25,2024-12-18,0.34,1,216,5,
26127718,"Casa El Wero Apt 1- SAN PEDRO, Ambergris Caye!!!",189206205,Luz Elena And Dale,Belize,Belize Islands,17.92435,-87.95972,Entire home/apt,156,2,163,2024-12-03,2.07,3,337,33,
26233919,Family Suite #2 at Paradise Plantation,195634670,Jerry,Stann Creek,Stann Creek Mainland,16.63405,-88.33908,Private room,321,1,1,2019-04-22,0.01,4,355,0,
26233923,Grand Suite at Paradise Plantation,195634670,Jerry,Stann Creek,Stann Creek Mainland,16.63265,-88.33987,Private room,400,1,7,2023-01-07,0.09,4,341,0,
26272391,Beach House Apartment,197497699,Maurice,Stann Creek,Stann Creek Mainland,16.84141,-88.27341,Private room,,1,0,,,1,0,0,
26334061,Seafront Stay: 1 Bedroom Suite at SunBreeze Suites,197790527,SunBreeze,Belize,Belize Islands,17.92051,-87.95957,Private room,494,1,12,2024-04-20,0.17,3,298,1,
26412817,Room No. 2,147366013,Dorsethea Louise,Belize,Belize Islands,17.7409,-88.02507,Private room,111,2,122,2024-12-24,1.67,2,80,32,
26413158,Premier Overwater Bungalow,44930752,Key Caribe,Stann Creek,Stann Creek Mainland,16.9587668,-88.2218005,Entire home/apt,2030,3,0,,,6,365,0,
26442620,B&B Green Valley Inn Cozy rustic room with AC,72943280,Marcela,Cayo,Cayo,17.21823,-88.93144,Hotel room,131,2,13,2024-10-10,0.17,9,323,4,
26445057,B&B Green Valley Inn Gorgous Twin bed room with AC,72943280,Marcela,Cayo,Cayo,17.21792,-88.93185,Hotel room,131,2,2,2022-03-25,0.03,9,331,0,
26448851,Hotel Room on the Beach 2B,2342237,Elizabeth,Belize,Belize Islands,17.9128,-87.96974,Hotel room,262,3,72,2024-12-07,0.91,2,291,6,
26455392,B&B Green Valley 1 queen/ 1 twin room/ 2 entrance,72943280,Marcela,Cayo,Cayo,17.21788,-88.93045,Entire home/apt,262,2,8,2022-12-25,0.11,9,315,0,
26469676,"Belizean charm Guest house,  room #4",115825277,Stephen,Cayo,Cayo,17.16026,-89.07385,Private room,,1,3,2019-04-09,0.04,6,110,0,
26469957,"Belizean Guesthouse, air conditioned room #3",115825277,Stephen,Cayo,Cayo,17.15947,-89.07361,Private room,73,1,2,2019-02-16,0.03,6,103,0,
26499365,2 Bed Overwater Cabana glass floors & private pool,81705728,Rick,Belize,Belize Islands,17.93648,-87.95985,Entire home/apt,784,1,26,2024-03-16,0.34,4,320,1,
26588819,Belize City exquisite,114066337,Christine,Belize,Belize Mainland,17.50758,-88.18775,Entire home/apt,,3,0,,,1,0,0,
26666779,Country Cabin,195718628,Bernhard & Bertha,Cayo,Cayo,17.24271,-88.99555,Entire home/apt,139,2,26,2024-10-20,0.35,2,311,4,
26730911,Jozzies soul food restaurant and cabana,201000179,Jason,Belize,Belize Mainland,17.17487,-88.33106,Private room,50,2,91,2024-12-12,1.25,2,329,25,
26736366,Spacious Belize City Vacation Rental Kings Park R2,24731119,Laura,Belize,Belize Mainland,17.51218,-88.19188,Private room,101,1,21,2024-11-16,1.83,11,255,21,
26850123,The View At Its Best,128933449,Louis,Stann Creek,Stann Creek Islands,16.89735,-88.06098,Private room,252,3,1,2023-03-07,0.05,1,83,0,
27055792,Casa Moderna Fresca & The Pool Club@Mahogany Bay,203551366,Elliott,Belize,Belize Islands,17.898821,-87.982086,Entire home/apt,848,3,60,2024-12-12,0.78,29,297,21,
27057739,"Guest House in Punta Gorda, Belize",203587674,Dudley,Toledo,Toledo Mainland,16.11476,-88.79834,Entire home/apt,,1,0,,,1,0,0,
27057940,Athena Mahogany House & Pool Club at Mahogany Bay,203551366,Elliott,Belize,Belize Islands,17.8994,-87.98116,Entire home/apt,1029,3,70,2024-12-25,0.96,29,296,26,
27139574,Chalize's Place,204331585,Charles,Stann Creek,Stann Creek Mainland,16.97182,-88.22306,Entire home/apt,353,3,5,2022-01-25,0.07,1,180,0,
27333021,Flowers Villa-Ladyville/Vista Del Mar-Belize-U/S,205945189,Marion,Belize,Belize Mainland,17.55307,-88.28453,Private room,,3,4,2019-02-13,0.05,2,0,0,
27369379,Fun Environment for Solo Travelers or Couples,206258969,Hailey,Belize,Belize Islands,17.92351,-87.95964,Entire home/apt,280,1,60,2024-11-14,0.90,9,328,13,
27374999,In a Group? Fun Location IN TOWN,206258969,Hailey,Belize,Belize Islands,17.923511,-87.959642,Hotel room,299,1,22,2024-11-19,0.30,9,333,7,
27406122,Lovely Breeze,206538787,Kathleen,Belize,Belize Mainland,17.54768,-88.31206,Private room,40,1,14,2020-01-31,0.19,2,211,0,
27658482,El Pilar Bed And Breakfast,96072999,Penny,Cayo,Cayo,17.15595,-89.08106,Private room,,1,1,2018-12-30,0.01,1,0,0,
27697190,Group Vacation by the Sea,93123112,Lee,Belize,Belize Islands,17.89818,-87.9767,Private room,,2,0,,,17,365,0,
27729677,Private Guest Room In Family Home,209350770,Kamil,Cayo,Cayo,17.24124,-88.77234,Private room,,1,0,,,1,0,0,
27751489,Standard Double Room #3,45374193,Rumors,Cayo,Cayo,17.13017,-89.09493,Hotel room,,1,0,,,10,0,0,
27752946,Suzie's Hilltop Villa 1,183396336,Jameli,Cayo,Cayo,17.153217315673828,-89.06898498535156,Entire home/apt,293,2,181,2024-12-12,2.45,4,213,39,
